PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-0.030869459557621992,-0.16676475190348294,2.038676913036119,0.17797160426927477,-0.3741426862943876,0.6728150640733854,-1.073678943794569,-1.6262617188392685,-0.04774782120464962,0.745474820131617
1.8080158315839583,-1.4839730725829199,-0.5341990435816092,-0.2786273641099701,-2.145058951295049,0.31085887417873675,0.8582174878146095,0.09571363123749026,-0.13418350231328022,-0.6131672732203092
2.565130362751345,-1.443192903197332,-0.5636363544094747,0.23170019685767312,-1.8735263077244182,0.5258354132813041,1.6823094223713475,0.06485861069804422,-0.1634841455199319,-0.8642759830486086
-2.3736179932020804,0.3428457686546743,-0.4961265523394274,0.8239932523642027,-1.1990342125921964,-0.4360477629129951,0.12643649485003838,0.3228245352082805,0.04926685512861119,-0.0026401593265220485
0.545497880840286,0.8586938240581412,-0.7693776457361178,0.4526976116995379,-1.7184654923762253,-0.08857636244782491,0.0038117400536260004,0.40719914030958126,-0.019510327221826163,-0.8746315154650396
0.7636131420266868,-0.5453805436597357,-0.8400082417600216,-0.2541042521706444,-2.0842369010186275,-0.304054561986702,0.16058927482060226,0.6379014975113775,-0.02930687968487586,-1.037988671141735
-1.881756174727213,1.280648095609971,-0.807371364749546,0.11833837628614377,-1.1640755443792765,0.19153598029803948,0.29799745630423413,0.42427138739156983,0.046263992914728866,-0.1650900992714351
-0.08848161146732925,0.5379526792201907,0.2902656656517485,0.6502613669513948,-0.9808097379478569,-0.09129043608530726,0.43297267501219183,-0.1987644247821833,-0.09279870917721698,-0.06362838383659698
0.3350596830964555,-0.9166745454429046,-0.2577025428928578,-0.7016286344898044,-1.67252214677569,-0.9589507061825846,0.7994508160897383,0.020045931953959734,-0.1724286682839371,-1.0730220918756876
-0.9811138536787819,-0.3729683027489361,0.06289946673767924,0.9474993918131522,-1.164811488298103,0.2934411778631135,0.4312791146101329,-0.46162109506903287,-0.09713866972233959,-1.0136550113208687
7.4251580063674565,-1.046446434205875,5.23025472588235,0.32509074923571385,0.7968274688874732,-0.7003275508218335,-0.13826237086622545,0.5865006519638855,-0.021747047765306213,-0.5609956075999446
-0.3447126494427192,-0.13255911903163364,-0.5544401673306357,0.612993504098741,-1.6196761684505208,0.35058111699868566,0.23088428525058305,0.0712832785142427,-0.026588821558070574,-0.5901986737448254
3.9051226238770482,1.55652192271988,1.8544829160766858,-0.5126009727537271,-0.40001760540774994,0.7958530080825854,-0.20866057075168662,-2.4478969130021593,-0.2480744595018794,0.8096168738714113
0.522284560863021,-0.258094787583084,0.04151989885973828,0.10454096163127133,-1.494924253559851,0.06978549638573373,-0.5311881173944993,-0.12516689728113986,-0.03082895512981826,-1.4843541948794092
5.047770114844153,-1.410961630998117,0.7266305284052638,-0.5579129776031413,-1.860655014330051,-0.40706637985997296,0.09460840526980696,0.5337758177532874,-0.07161372818515313,-0.5720353341303801
